Date,Product ID,Product Name,Category,Demand (Units Sold),Inventory Level,Reorder Point,Lead Time (days),Supplier ID,Region,Warehouse,Stock Status,Order Quantity
2022-01-08,PRD1019,Treadmill,Sports,86,393,62,5,SUP105,Oceania,WH-C,In Stock,0
2022-01-08,PRD1019,Treadmill,Sports,23,370,53,8,SUP104,Oceania,WH-B,In Stock,0
2022-01-08,PRD1020,Moisturizer,Beauty,102,412,79,5,SUP106,South America,WH-C,In Stock,0
2022-01-08,PRD1022,Lipstick,Beauty,49,269,108,7,SUP104,Asia,WH-C,In Stock,0
2022-01-08,PRD1023,Shampoo,Beauty,66,451,114,13,SUP104,Asia,WH-C,In Stock,0
2022-01-08,PRD1023,Shampoo,Beauty,36,214,105,7,SUP105,South America,WH-A,In Stock,0
2022-01-09,PRD1003,Headphones,Electronics,0,233,54,4,SUP105,Asia,WH-D,In Stock,0
2022-01-09,PRD1004,Smartwatch,Electronics,43,151,129,5,SUP105,Oceania,WH-C,In Stock,0
2022-01-09,PRD1004,Smartwatch,Electronics,94,113,58,10,SUP109,Europe,WH-B,In Stock,0
2022-01-09,PRD1004,Smartwatch,Electronics,0,272,70,11,SUP104,Oceania,WH-B,In Stock,0
2022-01-09,PRD1008,Jacket,Clothing,64,109,148,3,SUP103,Oceania,WH-D,Low Stock,213
2022-01-09,PRD1010,Blender,Home & Kitchen,67,203,71,13,SUP109,Europe,WH-D,In Stock,0
2022-01-09,PRD1012,Coffee Maker,Home & Kitchen,74,200,68,6,SUP100,Oceania,WH-B,In Stock,0
2022-01-09,PRD1013,Vacuum Cleaner,Home & Kitchen,95,411,143,3,SUP105,South America,WH-C,In Stock,0
2022-01-09,PRD1014,Air Purifier,Home & Kitchen,32,412,136,5,SUP107,Asia,WH-C,In Stock,0
2022-01-09,PRD1016,Dumbbells,Sports,102,138,143,3,SUP109,Asia,WH-D,Low Stock,212
2022-01-09,PRD1023,Shampoo,Beauty,2,46,111,11,SUP101,Europe,WH-A,Low Stock,192
2022-01-10,PRD1000,Laptop,Electronics,59,499,120,9,SUP106,Asia,WH-A,In Stock,0
2022-01-10,PRD1002,Tablet,Electronics,56,441,64,12,SUP101,South America,WH-C,In Stock,0
2022-01-10,PRD1002,Tablet,Electronics,83,251,59,3,SUP108,Europe,WH-A,In Stock,0
2022-01-10,PRD1003,Headphones,Electronics,33,461,138,8,SUP103,Europe,WH-C,In Stock,0
2022-01-10,PRD1007,Sneakers,Clothing,21,194,140,4,SUP106,Europe,WH-A,In Stock,0
2022-01-10,PRD1007,Sneakers,Clothing,0,215,95,10,SUP109,Europe,WH-D,In Stock,0
2022-01-10,PRD1007,Sneakers,Clothing,58,15,121,3,SUP104,Asia,WH-C,Low Stock,201
2022-01-10,PRD1009,Sweater,Clothing,45,192,62,13,SUP103,South America,WH-D,In Stock,0
2022-01-10,PRD1010,Blender,Home & Kitchen,66,444,119,10,SUP100,Oceania,WH-D,In Stock,0
2022-01-10,PRD1015,Yoga Mat,Sports,0,136,62,4,SUP108,Oceania,WH-D,In Stock,0
2022-01-10,PRD1017,Tennis Racket,Sports,95,494,119,3,SUP102,Europe,WH-A,In Stock,0
2022-01-10,PRD1017,Tennis Racket,Sports,25,132,75,10,SUP106,North America,WH-D,In Stock,0
2022-01-10,PRD1019,Treadmill,Sports,39,331,122,4,SUP104,Asia,WH-D,In Stock,0
2022-01-10,PRD1019,Treadmill,Sports,100,124,67,8,SUP106,North America,WH-D,In Stock,0
2022-01-10,PRD1023,Shampoo,Beauty,59,71,73,3,SUP109,Asia,WH-A,Low Stock,167
2022-01-11,PRD1002,Tablet,Electronics,0,32,126,13,SUP100,Europe,WH-A,Low Stock,272
2022-01-11,PRD1004,Smartwatch,Electronics,43,319,115,3,SUP109,North America,WH-D,In Stock,0
2022-01-11,PRD1005,T-Shirt,Clothing,8,218,90,11,SUP109,Asia,WH-C,In Stock,0
2022-01-11,PRD1008,Jacket,Clothing,78,444,129,12,SUP101,Europe,WH-A,In Stock,0
2022-01-11,PRD1012,Coffee Maker,Home & Kitchen,7,248,122,13,SUP101,Oceania,WH-C,In Stock,0
2022-01-11,PRD1013,Vacuum Cleaner,Home & Kitchen,54,246,96,8,SUP102,South America,WH-D,In Stock,0
2022-01-11,PRD1017,Tennis Racket,Sports,61,121,64,13,SUP108,South America,WH-D,In Stock,0
2022-01-11,PRD1019,Treadmill,Sports,57,344,107,12,SUP105,Europe,WH-D,In Stock,0
2022-01-11,PRD1020,Moisturizer,Beauty,60,28,69,7,SUP108,Europe,WH-D,Low Stock,127
2022-01-12,PRD1000,Laptop,Electronics,58,130,139,11,SUP109,Asia,WH-D,Low Stock,177
2022-01-12,PRD1000,Laptop,Electronics,51,195,55,12,SUP100,North America,WH-A,In Stock,0
2022-01-12,PRD1002,Tablet,Electronics,35,472,86,7,SUP106,Asia,WH-D,In Stock,0
2022-01-12,PRD1005,T-Shirt,Clothing,16,168,128,12,SUP100,Oceania,WH-B,In Stock,0
2022-01-12,PRD1005,T-Shirt,Clothing,91,402,68,5,SUP105,South America,WH-C,In Stock,0
2022-01-12,PRD1005,T-Shirt,Clothing,57,245,108,8,SUP100,Europe,WH-B,In Stock,0
2022-01-12,PRD1008,Jacket,Clothing,104,415,86,4,SUP106,Oceania,WH-D,In Stock,0
2022-01-12,PRD1009,Sweater,Clothing,23,155,57,12,SUP103,Europe,WH-D,In Stock,0
2022-01-12,PRD1009,Sweater,Clothing,54,85,147,12,SUP104,Oceania,WH-A,Low Stock,297
2022-01-12,PRD1011,Microwave,Home & Kitchen,7,404,130,9,SUP102,Asia,WH-A,In Stock,0
2022-01-12,PRD1013,Vacuum Cleaner,Home & Kitchen,25,300,85,11,SUP100,Europe,WH-D,In Stock,0
2022-01-12,PRD1016,Dumbbells,Sports,98,353,55,10,SUP102,Asia,WH-C,In Stock,0
2022-01-12,PRD1018,Basketball,Sports,68,173,78,4,SUP101,South America,WH-C,In Stock,0
2022-01-12,PRD1020,Moisturizer,Beauty,40,443,70,3,SUP108,Asia,WH-B,In Stock,0
2022-01-12,PRD1024,Sunscreen,Beauty,52,40,103,3,SUP108,North America,WH-A,Low Stock,221
2022-01-13,PRD1005,T-Shirt,Clothing,2,398,67,11,SUP101,Europe,WH-D,In Stock,0
2022-01-13,PRD1006,Jeans,Clothing,61,316,126,8,SUP101,South America,WH-D,In Stock,0
2022-01-13,PRD1007,Sneakers,Clothing,46,418,143,3,SUP104,South America,WH-D,In Stock,0
2022-01-13,PRD1007,Sneakers,Clothing,46,226,118,4,SUP104,Oceania,WH-A,In Stock,0
2022-01-13,PRD1009,Sweater,Clothing,67,471,89,9,SUP104,Oceania,WH-C,In Stock,0
2022-01-13,PRD1011,Microwave,Home & Kitchen,64,173,88,7,SUP101,South America,WH-A,In Stock,0
2022-01-13,PRD1013,Vacuum Cleaner,Home & Kitchen,105,402,101,11,SUP109,South America,WH-C,In Stock,0
2022-01-13,PRD1014,Air Purifier,Home & Kitchen,87,286,129,4,SUP105,Oceania,WH-B,In Stock,0
2022-01-13,PRD1014,Air Purifier,Home & Kitchen,36,167,61,5,SUP103,South America,WH-B,In Stock,0
2022-01-13,PRD1017,Tennis Racket,Sports,48,50,133,7,SUP102,Asia,WH-C,Low Stock,197
2022-01-13,PRD1018,Basketball,Sports,9,290,125,7,SUP101,Oceania,WH-A,In Stock,0
2022-01-13,PRD1018,Basketball,Sports,34,313,79,5,SUP106,North America,WH-B,In Stock,0
2022-01-13,PRD1018,Basketball,Sports,21,157,92,5,SUP105,South America,WH-C,In Stock,0
2022-01-13,PRD1018,Basketball,Sports,86,496,91,10,SUP100,North America,WH-B,In Stock,0
2022-01-13,PRD1019,Treadmill,Sports,18,498,76,4,SUP103,Asia,WH-A,In Stock,0
2022-01-13,PRD1020,Moisturizer,Beauty,89,131,144,11,SUP100,Oceania,WH-A,Low Stock,200
2022-01-13,PRD1020,Moisturizer,Beauty,26,224,145,4,SUP108,Europe,WH-D,In Stock,0
2022-01-13,PRD1021,Perfume,Beauty,37,168,56,7,SUP106,Asia,WH-A,In Stock,0
2022-01-13,PRD1022,Lipstick,Beauty,24,409,84,11,SUP109,South America,WH-B,In Stock,0
2022-01-13,PRD1022,Lipstick,Beauty,14,116,140,9,SUP101,Oceania,WH-D,Low Stock,181
2022-01-13,PRD1024,Sunscreen,Beauty,28,59,100,7,SUP109,South America,WH-D,Low Stock,240
2022-01-14,PRD1003,Headphones,Electronics,43,16,91,5,SUP104,North America,WH-D,Low Stock,113
2022-01-14,PRD1004,Smartwatch,Electronics,86,74,112,4,SUP104,Asia,WH-D,Low Stock,139
2022-01-14,PRD1006,Jeans,Clothing,65,424,51,3,SUP103,South America,WH-C,In Stock,0
2022-01-14,PRD1009,Sweater,Clothing,96,14,112,6,SUP106,Oceania,WH-A,Low Stock,152
2022-01-14,PRD1011,Microwave,Home & Kitchen,24,333,126,5,SUP102,South America,WH-C,In Stock,0
2022-01-14,PRD1011,Microwave,Home & Kitchen,93,39,83,13,SUP100,Europe,WH-B,Low Stock,211
2022-01-14,PRD1012,Coffee Maker,Home & Kitchen,38,344,86,4,SUP103,North America,WH-A,In Stock,0
2022-01-14,PRD1018,Basketball,Sports,61,415,60,12,SUP101,Europe,WH-A,In Stock,0
2022-01-14,PRD1018,Basketball,Sports,53,414,149,7,SUP108,Asia,WH-B,In Stock,0
2022-01-14,PRD1018,Basketball,Sports,91,1,56,12,SUP100,Oceania,WH-A,Low Stock,135
2022-01-14,PRD1019,Treadmill,Sports,27,470,74,6,SUP108,Europe,WH-B,In Stock,0
2022-01-14,PRD1019,Treadmill,Sports,40,343,96,11,SUP103,South America,WH-C,In Stock,0
2022-01-14,PRD1021,Perfume,Beauty,66,292,137,11,SUP103,North America,WH-B,In Stock,0
2022-01-14,PRD1021,Perfume,Beauty,14,176,125,5,SUP106,Asia,WH-D,In Stock,0
2022-01-14,PRD1022,Lipstick,Beauty,60,9,117,8,SUP104,North America,WH-D,Low Stock,259
2022-01-15,PRD1001,Smartphone,Electronics,87,438,72,9,SUP103,South America,WH-A,In Stock,0
2022-01-15,PRD1004,Smartwatch,Electronics,39,105,84,4,SUP109,South America,WH-A,In Stock,0
2022-01-15,PRD1005,T-Shirt,Clothing,114,41,139,5,SUP101,Europe,WH-C,Low Stock,247
2022-01-15,PRD1007,Sneakers,Clothing,6,156,96,6,SUP101,Asia,WH-C,In Stock,0
2022-01-15,PRD1007,Sneakers,Clothing,68,52,58,13,SUP106,South America,WH-B,Low Stock,174
2022-01-15,PRD1007,Sneakers,Clothing,57,478,145,4,SUP106,Europe,WH-B,In Stock,0
2022-01-15,PRD1011,Microwave,Home & Kitchen,52,66,79,11,SUP109,Asia,WH-B,Low Stock,175
2022-01-15,PRD1013,Vacuum Cleaner,Home & Kitchen,17,141,61,9,SUP103,Europe,WH-D,In Stock,0
2022-01-15,PRD1014,Air Purifier,Home & Kitchen,24,442,94,13,SUP104,North America,WH-A,In Stock,0
2022-01-15,PRD1015,Yoga Mat,Sports,62,249,53,12,SUP106,North America,WH-C,In Stock,0
2022-01-15,PRD1018,Basketball,Sports,88,259,68,10,SUP101,North America,WH-C,In Stock,0
2022-01-15,PRD1020,Moisturizer,Beauty,69,155,56,13,SUP101,South America,WH-B,In Stock,0
2022-01-15,PRD1020,Moisturizer,Beauty,17,132,113,10,SUP107,South America,WH-D,In Stock,0
2022-01-15,PRD1020,Moisturizer,Beauty,100,25,87,13,SUP106,North America,WH-D,Low Stock,115
2022-01-15,PRD1024,Sunscreen,Beauty,39,454,65,6,SUP106,Oceania,WH-A,In Stock,0
2022-01-16,PRD1001,Smartphone,Electronics,48,1,86,6,SUP100,Europe,WH-A,Low Stock,182
2022-01-16,PRD1004,Smartwatch,Electronics,41,390,89,5,SUP100,Europe,WH-B,In Stock,0
2022-01-16,PRD1004,Smartwatch,Electronics,67,319,119,4,SUP100,North America,WH-D,In Stock,0
2022-01-16,PRD1007,Sneakers,Clothing,79,302,58,4,SUP100,Asia,WH-A,In Stock,0
2022-01-16,PRD1008,Jacket,Clothing,98,92,58,3,SUP107,Asia,WH-C,In Stock,0
2022-01-16,PRD1012,Coffee Maker,Home & Kitchen,38,268,100,4,SUP108,North America,WH-C,In Stock,0
2022-01-16,PRD1014,Air Purifier,Home & Kitchen,96,13,90,12,SUP108,North America,WH-D,Low Stock,172
2022-01-16,PRD1016,Dumbbells,Sports,109,268,82,8,SUP104,Asia,WH-D,In Stock,0
2022-01-16,PRD1021,Perfume,Beauty,80,303,111,3,SUP106,South America,WH-B,In Stock,0
2022-01-16,PRD1021,Perfume,Beauty,39,422,99,6,SUP104,Europe,WH-D,In Stock,0
2022-01-16,PRD1023,Shampoo,Beauty,61,67,142,6,SUP101,North America,WH-B,Low Stock,171
2022-01-16,PRD1024,Sunscreen,Beauty,72,306,109,4,SUP104,South America,WH-C,In Stock,0
2022-01-17,PRD1000,Laptop,Electronics,97,352,103,4,SUP100,North America,WH-D,In Stock,0
2022-01-17,PRD1000,Laptop,Electronics,75,274,54,4,SUP100,Europe,WH-A,In Stock,0
2022-01-17,PRD1000,Laptop,Electronics,82,256,137,8,SUP108,South America,WH-C,In Stock,0
2022-01-17,PRD1003,Headphones,Electronics,26,187,72,6,SUP109,South America,WH-A,In Stock,0
2022-01-17,PRD1004,Smartwatch,Electronics,42,485,125,9,SUP104,Europe,WH-B,In Stock,0
2022-01-17,PRD1004,Smartwatch,Electronics,65,429,51,11,SUP101,Europe,WH-D,In Stock,0
2022-01-17,PRD1005,T-Shirt,Clothing,17,204,144,12,SUP108,Europe,WH-C,In Stock,0
2022-01-17,PRD1006,Jeans,Clothing,24,322,73,6,SUP100,North America,WH-D,In Stock,0
2022-01-17,PRD1007,Sneakers,Clothing,90,482,76,11,SUP108,Europe,WH-D,In Stock,0
2022-01-17,PRD1008,Jacket,Clothing,13,85,101,12,SUP105,South America,WH-A,Low Stock,151
2022-01-17,PRD1011,Microwave,Home & Kitchen,36,209,96,8,SUP106,North America,WH-B,In Stock,0
2022-01-17,PRD1012,Coffee Maker,Home & Kitchen,60,351,89,5,SUP101,North America,WH-D,In Stock,0
2022-01-17,PRD1015,Yoga Mat,Sports,59,384,62,13,SUP105,Asia,WH-B,In Stock,0
2022-01-17,PRD1016,Dumbbells,Sports,9,496,149,10,SUP109,Europe,WH-C,In Stock,0
2022-01-17,PRD1019,Treadmill,Sports,29,76,131,5,SUP102,Oceania,WH-A,Low Stock,204
2022-01-17,PRD1021,Perfume,Beauty,64,160,81,8,SUP108,Asia,WH-B,In Stock,0
2022-01-18,PRD1002,Tablet,Electronics,14,197,140,4,SUP103,North America,WH-A,In Stock,0
2022-01-18,PRD1003,Headphones,Electronics,45,53,112,3,SUP103,South America,WH-A,Low Stock,108
2022-01-18,PRD1005,T-Shirt,Clothing,116,339,71,5,SUP108,South America,WH-C,In Stock,0
2022-01-18,PRD1013,Vacuum Cleaner,Home & Kitchen,25,95,103,3,SUP105,North America,WH-A,Low Stock,145
2022-01-18,PRD1015,Yoga Mat,Sports,13,11,124,6,SUP102,North America,WH-C,Low Stock,294
2022-01-18,PRD1016,Dumbbells,Sports,75,148,119,7,SUP104,South America,WH-B,In Stock,0
2022-01-18,PRD1017,Tennis Racket,Sports,74,331,106,3,SUP106,South America,WH-C,In Stock,0
2022-01-18,PRD1017,Tennis Racket,Sports,5,223,125,12,SUP101,Oceania,WH-B,In Stock,0
2022-01-18,PRD1018,Basketball,Sports,102,129,143,3,SUP105,Oceania,WH-D,Low Stock,226
2022-01-18,PRD1018,Basketball,Sports,19,38,90,7,SUP100,Asia,WH-C,Low Stock,275
2022-01-18,PRD1021,Perfume,Beauty,0,362,65,10,SUP108,Oceania,WH-B,In Stock,0
2022-01-18,PRD1022,Lipstick,Beauty,51,236,79,9,SUP107,South America,WH-B,In Stock,0
2022-01-18,PRD1023,Shampoo,Beauty,48,243,145,12,SUP109,North America,WH-D,In Stock,0
2022-01-18,PRD1023,Shampoo,Beauty,7,462,127,5,SUP107,Asia,WH-C,In Stock,0
2022-01-18,PRD1024,Sunscreen,Beauty,74,57,116,10,SUP107,Europe,WH-D,Low Stock,274
2022-01-19,PRD1000,Laptop,Electronics,28,304,52,12,SUP108,North America,WH-B,In Stock,0
2022-01-19,PRD1001,Smartphone,Electronics,72,393,77,4,SUP106,Asia,WH-B,In Stock,0
